Current_Rep,Seller,Date,Doc_Type,Doc_No,Customer,Customer_Group,Material_Code,Amount,Sales_Qty,Ship_To_State,Billing_Country,Material_Name,Broad_Phase,Product_Phase,Particle_size,Pore_size,ID_(mm),Length_(mm),List_price,Price_Floor,Specification
Sales Rep D,Sales Rep D,8/11/2025,Standard Sales Order,SO2024000001,ACCT_0076_JVA,ACCT_0076,FAKE-00648,5236.85,5,FL,USA,"HPLC Column,  Proteomix WAX-NP5",IEX,Proteomix WAX,5,NP,4.6,250,1038.77,869.71,4.6mmx250mm
Sales Rep C,Sales Rep A,1/25/2025,Standard Sales Order,SO2025000002,ACCT_0076_TPG,ACCT_0076,FAKE-00648,2764.47,3,,Belgium,"HPLC Column,  Proteomix RP-1000",RP,Proteomix RP,5,1000,4.6,100,898.0,808.2,4.6mmx100mm
Sales Rep B,Sales Rep A,6/9/2024,Standard Sales Order,SO2023000003,ACCT_0076_QNG,ACCT_0076,FAKE-00648,1035.0,1,,Kuwait,"HPLC Column,  Proteomix WCX-NP5",IEX,Proteomix WCX,5,NP,4.6,100,1380.0,1035.0,4.6mmx100mm
Sales Rep B,Sales Rep B,7/26/2025,Standard Sales Order,SO2024000004,ACCT_0076_GDE,ACCT_0076,FAKE-00648,2527.97,1,MA,USA,"HPLC Column,  SRT-C SEC-300",SEC,SRT-C SEC,5,300,7.8,300,2195.0,1646.25,7.8mmx300mm
Sales Rep C,Sales Rep A,9/2/2024,Standard Sales Order,SO2025000005,ACCT_0076_ADA,ACCT_0076,FAKE-00648,12912.8,20,WA,USA,"MC10­Boronate Affinity Column, 10um",Affinity,MC10-Boronate,Null,Null,4.6,50,687.21,604.92,4.6mmx50mm
Sales Rep A,Sales Rep D,1/1/2025,Standard Sales Order,SO2023000006,ACCT_1187_CKT,ACCT_1187,FAKE-00955,1103.42,2,NC,USA,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,50,644.0,483.0,7.8mmx50mm
Sales Rep B,Sales Rep C,3/26/2025,Standard Sales Order,SO2024000007,ACCT_1187_OVE,ACCT_1187,FAKE-00955,342.91,1,,Italy,"HPLC Column,  Antibodix NP1.7",IEX,Antibodix WCX,1.7,NP,4.6,150,392.61,287.47,4.6mmx150mm
Sales Rep C,Sales Rep D,9/5/2024,Standard Sales Order,SO2025000008,ACCT_1187_IXV,ACCT_1187,FAKE-00955,7172.1,5,NC,USA,"HPLC Column,  SRT SEC-150",SEC,SRT SEC,5,150,7.8,150,1438.0,1294.2,7.8mmx150mm
Sales Rep D,Sales Rep C,3/25/2025,Standard Sales Order,SO2023000009,ACCT_1187_DZL,ACCT_1187,FAKE-01062,2340.86,1,CA,USA,"HPLC Column,  Zenix-C SEC-300 PEEK",SEC,Zenix-C SEC,3,300,4.6,300,2410.0,1807.5,4.6mmx300mm
Sales Rep B,Sales Rep D,11/20/2024,Standard Sales Order,SO2024000010,ACCT_1187_UCT,ACCT_1187,FAKE-01062,6483.6,4,MA,USA,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,4.6,300,1801.0,1620.9,4.6mmx300mm
Sales Rep B,Sales Rep B,1/21/2025,Standard Sales Order,SO2025000011,ACCT_1187_MNO,ACCT_1187,FAKE-00955,4364.37,3,FL,USA,"HPLC Column,  SRT-C SEC-2000",SEC,SRT-C SEC,5,2000,4.6,150,1369.0,1026.75,4.6mmx150mm
Sales Rep A,Sales Rep C,1/11/2025,Standard Sales Order,SO2023000012,ACCT_1187_MIX,ACCT_1187,FAKE-00955,2258.9,1,TX,USA,"HPLC Column,  SRT SEC-750",SEC,SRT SEC,5,750,4.6,300,2356.0,1767.0,4.6mmx300mm
Sales Rep C,Sales Rep A,12/6/2024,Standard Sales Order,SO2024000013,ACCT_0422_MBL,ACCT_0422,FAKE-00793,688.47,1,NC,USA,"HPLC Column,  SRT SEC-500 PEEK",SEC,SRT SEC,5,500,4.6,50,812.0,609.0,4.6mmx50mm
Sales Rep A,Sales Rep D,7/20/2025,Standard Sales Order,SO2025000014,ACCT_0422_QQE,ACCT_0422,FAKE-00793,871.5,1,WI,USA,"HPLC Column,  Mono GPC-300",SEC,Mono GPC,30,300,10,300,1025.72,843.37,10mmx300mm
Sales Rep B,Sales Rep C,1/15/2025,Standard Sales Order,SO2023000015,ACCT_0422_VET,ACCT_0422,FAKE-00793,1822.06,2,CO,USA,"Carbomix H-NP10, 8% Crosslinkage",Carbomix,Carbomix H,10,NP,7.8,300,1116.16,849.7,7.8mmx300mm
Sales Rep D,Sales Rep A,4/11/2025,Standard Sales Order,SO2024000016,ACCT_0422_JLT,ACCT_0422,FAKE-00793,1247.58,1,CA,USA,"HPLC Column,  SRT-C SEC-1000",SEC,SRT-C SEC,5,1000,7.8,300,1452.59,1191.93,7.8mmx300mm
Sales Rep B,Sales Rep B,1/5/2025,Standard Sales Order,SO2025000017,ACCT_0422_FSK,ACCT_0422,FAKE-00347,1089.93,3,,Germany,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,300,415.38,358.49,7.8mmx300mm
Sales Rep B,Sales Rep A,12/23/2024,Standard Sales Order,SO2023000018,ACCT_0422_DMY,ACCT_0422,FAKE-00347,1065.36,3,NJ,USA,"HPLC Column,  SRT SEC-750",SEC,SRT SEC,5,750,4.6,300,427.18,355.12,4.6mmx300mm
Sales Rep D,Sales Rep D,5/14/2024,Standard Sales Order,SO2024000019,ACCT_0422_XIM,ACCT_0422,FAKE-00793,4485.0,2,IL,USA,"HPLC Column,  SRT-C SEC-500",SEC,SRT-C SEC,5,500,4.6,250,1725.0,1293.75,4.6mmx250mm
Sales Rep B,Sales Rep C,7/9/2024,Standard Sales Order,SO2025000020,ACCT_1032_PDC,ACCT_1032,FAKE-00198,663.61,1,,Denmark,"HPLC Column,  Proteomix SCX-NP5",IEX,Proteomix SCX,5,NP,4.6,150,871.54,663.61,4.6mmx150mm
Sales Rep B,Sales Rep B,11/10/2024,Service sales order,SO2023000021,ACCT_1032_AXU,ACCT_1032,FAKE-00198,393.28,1,PA,USA,"HPLC Column,  Proteomix HIC Ethyl-NP5",HIC,Proteomix HIC Ethyl,5,NP,4.6,35,431.96,333.75,4.6mmx35mm
Sales Rep B,Sales Rep C,5/4/2024,Standard Sales Order,SO2024000022,ACCT_1032_XTY,ACCT_1032,FAKE-00198,712.18,1,DE,USA,"HPLC Column,  Bio-C18",RP,Bio-C18,5,300,10,250,557.56,477.87,10mmx250mm
Sales Rep A,Sales Rep B,10/3/2023,Standard Sales Order,SO2025000023,ACCT_1032_JOU,ACCT_1032,FAKE-00198,2985.02,2,MA,USA,"HPLC Column,  Antibodix NP5",IEX,Antibodix WCX,5,NP,4.6,50,1481.92,1093.41,4.6mmx50mm
Sales Rep A,Sales Rep D,4/16/2025,Standard Sales Order,SO2023000024,ACCT_1032_LDJ,ACCT_1032,FAKE-00198,2445.75,3,,Ireland,"Carbomix H-NP10, 8% Crosslinkage",Carbomix,Carbomix H,10,NP,7.8,300,1152.31,815.25,7.8mmx300mm
Sales Rep B,Sales Rep C,11/6/2024,Standard Sales Order,SO2024000025,ACCT_1032_RXW,ACCT_1032,FAKE-00198,707.04,1,ME,USA,Proteomix WCX-NP5,IEX,Proteomix WCX,5,NP,2.1,250,709.25,555.04,2.1mmx250mm
Sales Rep C,Sales Rep B,2/28/2024,Standard Sales Order,SO2025000026,ACCT_0868_CKK,ACCT_0868,FAKE-01037,916.34,2,CA,USA,"HPLC Column,  SRT-C SEC-300",SEC,SRT-C SEC,5,300,7.8,300,352.44,283.11,7.8mmx300mm
Sales Rep A,Sales Rep C,10/3/2024,Standard Sales Order,SO2023000027,ACCT_0868_AEZ,ACCT_0868,FAKE-01037,492.25,1,CA,USA,"HPLC Column,  SRT SEC-300",SEC,SRT SEC,5,300,7.8,300,378.65,312.92,7.8mmx300mm
Sales Rep B,Sales Rep A,5/12/2025,Standard Sales Order,SO2024000028,ACCT_0868_YWK,ACCT_0868,FAKE-00955,4621.18,2,CA,USA,"HPLC Column,  Zenix-C SEC-300",SEC,Zenix-C SEC,3,300,4.6,300,2105.0,1578.75,4.6mmx300mm
Sales Rep D,Sales Rep A,9/17/2024,Standard Sales Order,SO2025000029,ACCT_0868_KLQ,ACCT_0868,FAKE-00127,3216.2,1,IL,USA,"HPLC Column,  SRT SEC-750",SEC,SRT SEC,5,750,4.6,300,2474.0,1767.0,4.6mmx300mm
Sales Rep D,Sales Rep B,5/2/2025,Standard Sales Order,SO2023000030,ACCT_0868_RJR,ACCT_0868,FAKE-00127,25428.0,10,CA,USA,"HPLC Column,  Unix-C SEC-300",SEC,Unix-C SEC,1.8,300,4.6,150,1956.0,1467.0,4.6mmx150mm
Sales Rep C,Sales Rep B,5/26/2025,Standard Sales Order,SO2024000031,ACCT_0868_HZD,ACCT_0868,FAKE-00238,1567.34,2,MA,USA,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,7.8,50,602.82,453.31,7.8mmx50mm
Sales Rep A,Sales Rep A,12/4/2024,Standard Sales Order,SO2025000032,ACCT_0868_EZR,ACCT_0868,FAKE-01201,3438.8,10,,Belgium,"HPLC Column,  SRT-10C SEC-300",SEC,SRT-10C SEC,10,300,10,300,453.23,330.94,10mmx300mm
Sales Rep D,Sales Rep A,10/9/2024,Standard Sales Order,SO2023000033,ACCT_0868_DFK,ACCT_0868,FAKE-01037,1495.0,2,,Switzerland,"HPLC Column,  Proteomix SCX-NP5",IEX,Proteomix SCX,5,NP,4,10,575.0,431.25,4mmx10mm
Sales Rep B,Sales Rep C,8/26/2024,Standard Sales Order,SO2024000034,ACCT_0868_XHB,ACCT_0868,FAKE-00137,3382.11,3,CA,USA,"HPLC Column,  Proteomix HIC Butyl-NP5",HIC,Proteomix HIC Butyl,5,NP,4,10,1208.93,986.0,4mmx10mm
Sales Rep D,Sales Rep B,8/13/2025,Standard Sales Order,SO2025000035,ACCT_0868_TWK,ACCT_0868,FAKE-00801,1012.33,1,,Belgium,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,21.2,300,980.06,791.94,21.2mmx300mm
Sales Rep C,Sales Rep C,1/8/2025,Standard Sales Order,SO2023000036,ACCT_0868_SKZ,ACCT_0868,FAKE-01179,1370.45,1,,Germany,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,7.8,300,1071.84,761.17,7.8mmx300mm
Sales Rep C,Sales Rep A,7/28/2025,Standard Sales Order,SO2024000037,ACCT_0868_PNC,ACCT_0868,FAKE-00604,1203.8,1,MD,USA,"HPLC Column,  Zenix SEC-300 PEEK",SEC,Zenix SEC,3,300,4.6,50,926.0,694.5,4.6mmx50mm
Sales Rep A,Sales Rep C,10/18/2024,Standard Sales Order,SO2025000038,ACCT_0868_MWC,ACCT_0868,FAKE-00604,381.56,1,FL,USA,"HPLC Column,  Zenix-C SEC-300 PEEK",SEC,Zenix-C SEC,3,300,4.6,300,293.51,256.58,4.6mmx300mm
Sales Rep C,Sales Rep A,2/11/2025,Standard Sales Order,SO2023000039,ACCT_0868_RIW,ACCT_0868,FAKE-00139,1850.38,1,CA,USA,"HPLC Column,  SRT SEC-1000 PEEK",SEC,SRT SEC,5,1000,4.6,300,1884.0,1413.0,4.6mmx300mm
Sales Rep B,Sales Rep D,2/15/2025,Standard Sales Order,SO2024000040,ACCT_0868_SKM,ACCT_0868,FAKE-00739,4862.94,3,,South Korea,"HPLC Column,  SRT-10 SEC-500",SEC,SRT-10 SEC,10,500,7.8,300,1394.06,1167.92,7.8mmx300mm
Sales Rep A,Sales Rep D,1/14/2025,Standard Sales Order,SO2025000041,ACCT_0868_QRT,ACCT_0868,FAKE-01266,1111.52,1,CO,USA,"HPLC Column,  Zenix-C SEC-150",SEC,Zenix-C SEC,3,150,4.6,300,1376.19,964.22,4.6mmx300mm
Sales Rep A,Sales Rep A,10/5/2024,Standard Sales Order,SO2023000042,ACCT_0868_XKD,ACCT_0868,FAKE-00248,8799.7,10,TX,USA,"HPLC Column,  Zenix SEC-300 PEEK",SEC,Zenix SEC,3,300,4.6,300,822.3,695.76,4.6mmx300mm
Sales Rep B,Sales Rep C,10/16/2024,Standard Sales Order,SO2024000043,ACCT_0868_ODR,ACCT_0868,FAKE-00360,2438.36,2,ME,USA,"HPLC Column,  Mono GPC-300",SEC,Mono GPC,30,300,10,300,1468.14,1219.18,10mmx300mm
Sales Rep B,Sales Rep C,3/22/2024,Standard Sales Order,SO2025000044,ACCT_0868_ADU,ACCT_0868,FAKE-00905,1059.34,1,NC,USA,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,150,814.88,649.58,7.8mmx150mm
Sales Rep A,Sales Rep B,1/16/2025,Standard Sales Order,SO2023000045,ACCT_0868_LFA,ACCT_0868,FAKE-00237,1915.77,1,MA,USA,EZ Packing Sleeve 10mm,FPLC Empty Column,FPLC Column Packing Sleeve,Null,Null,Null,Null,1489.83,1332.4,Null
Sales Rep D,Sales Rep D,7/24/2023,Standard Sales Order,SO2024000046,ACCT_0868_RJJ,ACCT_0868,FAKE-01230,3139.5,1,WA,USA,"HPLC Column,  SRT-10 SEC-300",SEC,SRT-10 SEC,10,300,10,300,2415.0,2052.75,10mmx300mm
Sales Rep C,Sales Rep A,8/13/2025,Standard Sales Order,SO2025000047,ACCT_0868_HVU,ACCT_0868,FAKE-01201,31537.2,20,CA,USA,"HPLC Column, SRT SEC-2000",SEC,SRT SEC,5,2000,7.8,300,2001.0,1500.75,7.8mmx300mm
Sales Rep D,Sales Rep B,8/3/2024,Standard Sales Order,SO2023000048,ACCT_0868_ZWC,ACCT_0868,FAKE-00916,3343.6,2,CA,USA,"HPLC Column,  Proteomix HIC Butyl-NP5",HIC,Proteomix HIC Butyl,5,NP,4.6,35,1286.0,1157.4,4.6mmx35mm
Sales Rep D,Sales Rep C,4/10/2025,Standard Sales Order,SO2024000049,ACCT_0868_ZIU,ACCT_0868,FAKE-00237,3032.02,2,CA,USA,"HPLC Column,  Zenix SEC-300",SEC,Zenix SEC,3,300,4.6,50,1166.16,1024.15,4.6mmx50mm
Sales Rep B,Sales Rep C,9/5/2023,Standard Sales Order,SO2025000050,ACCT_0868_AJH,ACCT_0868,FAKE-00537,366.31,1,IN,USA,"HPLC Column,  Proteomix HIC Phenyl-NP5",HIC,Proteomix HIC Phenyl,5,NP,4.6,35,403.58,324.27,4.6mmx35mm
Sales Rep C,Sales Rep C,3/3/2025,Standard Sales Order,SO2023000051,ACCT_0868_EBR,ACCT_0868,FAKE-01037,486.7,1,IA,USA,"HPLC Column, BioMix SEC-300",SEC,BioMIX SEC,3,300,7.8,300,419.89,314.1,7.8mmx300mm
Sales Rep B,Sales Rep D,8/24/2025,Standard Sales Order,SO2024000052,ACCT_0868_HHN,ACCT_0868,FAKE-01088,2606.5,1,PA,USA,"HPLC Column,  Zenix-C SEC-150",SEC,Zenix-C SEC,3,150,4.6,300,2005.0,1804.5,4.6mmx300mm
Sales Rep B,Sales Rep C,8/29/2025,Standard Sales Order,SO2025000053,ACCT_0868_NAB,ACCT_0868,FAKE-00683,1122.76,1,NY,USA,"HPLC Column,  SRT SEC-1000",SEC,SRT SEC,5,1000,7.8,50,1361.57,1122.76,7.8mmx50mm
Sales Rep B,Sales Rep A,4/1/2025,Service sales order,SO2023000054,ACCT_0868_VTO,ACCT_0868,FAKE-01077,399.27,1,IN,USA,"HPLC Column,  SRT-C SEC-300",SEC,SRT-C SEC,5,300,4.6,300,307.13,234.53,4.6mmx300mm
Sales Rep A,Sales Rep A,12/17/2024,Standard Sales Order,SO2024000055,ACCT_0868_KEI,ACCT_0868,FAKE-01279,5963.2,10,IL,USA,"HPLC Column,  Zenix-C SEC-80",SEC,Zenix-C SEC,3,80,7.8,300,458.71,361.14,7.8mmx300mm
Sales Rep C,Sales Rep D,4/4/2025,Standard Sales Order,SO2025000056,ACCT_0868_WVP,ACCT_0868,FAKE-00139,4397.85,5,,Germany,"HPLC Column,  SRT SEC-500",SEC,SRT SEC,5,500,4.6,300,1073.31,879.57,4.6mmx300mm
Sales Rep D,Sales Rep D,3/26/2025,Standard Sales Order,SO2023000057,ACCT_0868_IGT,ACCT_0868,FAKE-00037,4258.8,2,,South Korea,"HPLC Column, Sepax, Carbomix Ca-NP5, 8% Crosslinkage",Carbomix,Carbomix Ca,5,NP,7.8,300,1638.0,1228.5,7.8mmx300mm
Sales Rep D,Sales Rep A,5/20/2023,Standard Sales Order,SO2024000058,ACCT_0868_MTS,ACCT_0868,FAKE-00489,3830.85,3,MO,USA,"HPLC Column,  SRT-C SEC-300",SEC,SRT-C SEC,5,300,4.6,300,1158.02,997.24,4.6mmx300mm
Sales Rep C,Sales Rep D,2/18/2025,Standard Sales Order,SO2025000059,ACCT_0868_CCJ,ACCT_0868,FAKE-00921,21528.7,10,CA,USA,"HPLC Column,  Unix SEC-200",SEC,Unix SEC,1.8,200,4.6,150,2051.0,1538.25,4.6mmx150mm
Sales Rep B,Sales Rep D,7/9/2025,Standard Sales Order,SO2023000060,ACCT_0868_ZLF,ACCT_0868,FAKE-00336,4937.99,1,,Netherlands,"HPLC Column,  SRT-10 SEC-300",SEC,SRT-10 SEC,10,300,21.2,300,5355.0,4551.75,21.2mmx300mm
Sales Rep C,Sales Rep C,1/24/2025,Standard Sales Order,SO2024000061,ACCT_0868_ZZP,ACCT_0868,FAKE-00248,2298.22,2,,Germany,"HPLC Column,  Unix SEC-300",SEC,Unix SEC,1.8,300,4.6,300,1256.93,886.67,4.6mmx300mm
Sales Rep B,Sales Rep A,12/22/2024,Standard Sales Order,SO2025000062,ACCT_0868_YMY,ACCT_0868,FAKE-00137,852.97,1,MD,USA,"HPLC Column,  Bio-C4",RP,Bio-C4,10,300,21.2,250,693.9,595.03,21.2mmx250mm
