Current_Rep,Seller,Date,Doc_Type,Doc_No,Customer,Customer_Group,Material_Code,Amount,Sales_Qty,Ship_To_State,Billing_Country,Material_Name,Broad_Phase,Product_Phase,Particle_size,Pore_size,ID_(mm),Length_(mm),List_price,Price_Floor,Specification
Sales Rep D,Sales Rep D,1/16/2025,Invoice,SO2023013479,Account_0001_NLF,Account_0001,FAKE-00019,3332.16,4,,Australia,"Proteomix SEC, 5μm, 300Å, 7.8×150 mm",SEC,Proteomix SEC,5,300,7.8,150,894.59,740.02,7.8x150mm
Sales Rep C,Sales Rep C,2/4/2024,Invoice,SO2024013594,Account_0001_EQU,Account_0001,FAKE-00677,3115.8,3,NC,USA,"SRT-C SEC, 3μm, 1000Å, 2.1×300 mm",SEC,SRT-C SEC,3,1000,2.1,300,1388.75,1021.78,2.1x300mm
Sales Rep D,Sales Rep D,10/5/2023,Invoice,SO2023012813,Account_0001_ZJE,Account_0001,FAKE-00020,3678.55,5,PA,USA,"SRT-C SEC, 5μm, 300Å, 2.1×250 mm",SEC,SRT-C SEC,5,300,2.1,250,765.53,648.51,2.1x250mm
Sales Rep B,Sales Rep B,11/25/2023,Invoice,SO2024001366,Account_0001_LIV,Account_0001,FAKE-00001,1360.92,3,FL,USA,"Bulk Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,484.18,346.96,4.6x150mm
Sales Rep D,Sales Rep D,5/12/2024,Invoice,SO2023007944,Account_0001_ONW,Account_0001,FAKE-00011,1202.96,4,CA,USA,"SRT-C SEC, 10μm, 300Å, 4.6×50 mm",SEC,SRT-C SEC,10,300,4.6,50,381.11,270.19,4.6x50mm
Sales Rep A,Sales Rep A,4/5/2023,Order,SO2023011421,Account_0001_QWM,Account_0001,FAKE-00048,290.75,1,,Canada,"Accessories Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,296.23,242.93,4.6x150mm
Sales Rep B,Sales Rep B,8/9/2025,Invoice,SO2023009261,Account_0001_JKD,Account_0001,FAKE-00084,498.12,2,NM,USA,"Affinity Item, 5μm, 300Å, 4.6×150 mm",Accessories,General,5,300,4.6,150,276.73,243.33,4.6x150mm
Sales Rep A,Sales Rep A,9/26/2024,Invoice,SO2023012891,Account_0001_BNN,Account_0001,FAKE-00056,2674.45,5,MA,USA,"Proteomix SEC, 10μm, 300Å, 4.6×150 mm",SEC,Proteomix SEC,10,300,4.6,150,637.88,452.57,4.6x150mm
Sales Rep A,Sales Rep A,3/12/2024,Invoice,SO2024002188,Account_0001_LNA,Account_0001,FAKE-00025,2696.32,4,NY,USA,"Zenix SEC, 10μm, 1000Å, 2.1×250 mm",SEC,Zenix SEC,10,1000,2.1,250,848.85,627.51,2.1x250mm
Sales Rep B,Sales Rep B,6/20/2023,Invoice,SO2025004313,Account_0007_FEJ,Account_0007,FAKE-01180,937.12,4,PA,USA,"Sepax Protein Standard Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,321.86,228.21,4.6x150mm
Sales Rep D,Sales Rep D,8/18/2023,Invoice,SO2025001361,Account_0007_RNC,Account_0007,FAKE-01227,557.55,3,NH,USA,"Sepax Protein Standard Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,202.1,177.21,4.6x150mm
Sales Rep B,Sales Rep B,1/23/2025,Invoice,SO2025008240,Account_0007_AHU,Account_0007,FAKE-01025,2245.4,5,MO,USA,"Proteomix WCX, 10μm, 1000Å, 2.1×150 mm",HIC,Proteomix WCX,10,1000,2.1,150,464.42,342.34,2.1x150mm
Sales Rep B,Sales Rep B,2/26/2023,Invoice,SO2023000300,Account_0007_HKR,Account_0007,FAKE-01078,684.7,1,RI,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",SEC,General,5,300,4.6,150,873.65,632.51,4.6x150mm
Sales Rep C,Sales Rep C,10/19/2024,Order,SO2024012160,Account_0007_IIB,Account_0007,FAKE-00043,2360.24,2,,Mexico,"SRT-C SEC, 5μm, 1000Å, 7.8×250 mm",SEC,SRT-C SEC,5,1000,7.8,250,1422.29,1141.29,7.8x250mm
Sales Rep B,Sales Rep B,9/21/2023,Invoice,SO2023000003,Account_0123_JIO,Account_0123,FAKE-00014,2338.6,4,,China,"Zenix SEC, 3μm, 1000Å, 4.6×50 mm",SEC,Zenix SEC,3,1000,4.6,50,596.28,486.45,4.6x50mm
Sales Rep B,Sales Rep B,9/1/2024,Order,SO2024000700,Account_0123_IQA,Account_0123,FAKE-00692,6781.8,5,,France,"Zenix SEC, 3μm, 300Å, 7.8×300 mm",HIC,Zenix SEC,3,300,7.8,300,1549.72,1245.04,7.8x300mm
Sales Rep C,Sales Rep C,4/1/2024,Order,SO2024000844,Account_0123_YCJ,Account_0123,FAKE-00042,2481.85,5,,India,"Proteomix SCX, 3μm, 1000Å, 4.6×50 mm",IEX,Proteomix SCX,3,1000,4.6,50,554.63,378.18,4.6x50mm
Sales Rep A,Sales Rep A,12/17/2023,Invoice,SO2025001937,Account_0123_ODG,Account_0123,FAKE-00011,441.23,1,VA,USA,"HP-Amino, 5μm, 100Å, 4.6×150 mm",IEX,HP-Amino,5,100,4.6,150,458.95,377.53,4.6x150mm
Sales Rep C,Sales Rep C,11/6/2023,Order,SO2024002524,Account_0123_HDQ,Account_0123,FAKE-00008,843.2,2,MA,USA,"HIC Item, 5μm, 300Å, 4.6×150 mm",HIC,General,5,300,4.6,150,502.94,390.75,4.6x150mm
Sales Rep A,Sales Rep A,5/25/2023,Invoice,SO2023003960,Account_0123_POJ,Account_0123,FAKE-00005,3808.35,5,,Germany,"Proteomix SEC, 5μm, 100Å, 7.8×150 mm",SEC,Proteomix SEC,5,100,7.8,150,849.36,725.12,7.8x150mm
Sales Rep C,Sales Rep C,8/3/2024,Invoice,SO2024004732,Account_0123_BRX,Account_0123,FAKE-00972,4863.2,4,CO,USA,"Proteomix SEC, 3μm, 1000Å, 2.1×250 mm",SEC,Proteomix SEC,3,1000,2.1,250,1217.8,1008.51,2.1x250mm
